country,year,lat,lon,wealthpooled,households,urban_rural
angola,2011,-10.999863,17.564071,-0.577543020248413,31,0
angola,2011,-9.478349,16.860985,-0.810440599918365,33,0
angola,2011,-9.481052,16.859833,-0.934135735034943,33,0
angola,2011,-9.271637,15.235037,-1.01384294033051,34,0
angola,2011,-9.253066,15.241698,-1.09577298164368,28,1
angola,2011,-8.177555,15.379147,-0.666117131710052,37,0
angola,2011,-8.205036,15.397273,-0.983263194561005,35,0
angola,2011,-8.896356,15.599051,-1.12501680850983,35,0
angola,2011,-8.989537,15.580459,-0.752867877483368,25,0
angola,2011,-7.790408,15.392677,-1.02324163913727,37,0
angola,2011,-8.02952,15.575171,-0.882599413394928,31,0
angola,2011,-6.066164,15.087652,0.157952710986137,37,0
angola,2011,-6.081505,15.064407,-0.481426566839218,37,0
angola,2011,-6.661051,15.11861,-0.600045263767242,12,0
angola,2011,-6.696079,15.13254,-0.543602764606476,22,0
angola,2011,-7.549677,15.45235,-1.0471408367157,37,0
angola,2011,-7.285451,15.377354,-1.16298651695251,37,0
angola,2011,-6.492766,16.196565,-0.969230234622955,36,0
angola,2011,-6.613551,16.243775,-0.901126623153687,37,0
angola,2011,-6.622739,16.385077,-0.884259283542633,37,0
angola,2011,-6.58359,16.463289,-0.894660949707031,35,0
angola,2011,-6.476821,15.739399,-1.02182984352112,37,0
angola,2011,-6.496367,15.90848,-1.02714169025421,37,0
angola,2011,-14.924358,13.499334,1.13657021522522,37,1
angola,2011,-14.921202,13.4958,1.81660413742065,36,1
angola,2011,-14.916416,13.501424,1.8642486333847,33,1
angola,2011,-14.926751,13.495507,1.57822442054749,35,1
angola,2011,-14.912081,13.501654,1.33544158935547,34,1
angola,2011,-14.925065,13.495747,1.67197489738464,35,1
angola,2011,-14.920751,13.493788,1.54196131229401,35,1
angola,2011,-14.91614,13.508469,1.72541570663452,32,1
angola,2011,-17.066422,15.719677,1.00921046733856,37,1
angola,2011,-17.06959,15.705331,1.38325881958008,37,1
angola,2011,-15.121938,12.141942,0.800037503242493,33,1
angola,2011,-15.193016,12.161707,2.11094522476196,32,1
angola,2011,-15.81808,11.82366,1.42686855792999,32,1
angola,2011,-15.798489,11.856787,1.15505421161652,34,1
angola,2011,-15.808056,17.921414,-1.11222183704376,37,0
angola,2011,-15.469869,17.996156,-0.859808743000031,35,0
angola,2011,-15.498097,17.98579,-0.878539800643921,37,0
angola,2011,-15.499702,17.969204,-0.87233978509903,37,0
angola,2011,-16.219002,17.676093,-1.23004925251007,37,0
angola,2011,-15.812094,17.51968,-1.20299100875854,24,0
angola,2011,-15.874966,17.406166,-1.26909220218658,13,0
angola,2011,-15.300348,17.354066,-1.15796661376953,25,0
angola,2011,-16.296247,22.043261,-1.07558178901672,37,0
angola,2011,-16.363459,22.002347,-1.10103976726532,34,0
angola,2011,-11.433788,20.167403,-0.836628794670105,37,0
angola,2011,-11.33952,20.184083,-0.59268707036972,37,0
angola,2011,-14.178899,21.394238,-1.00306391716003,37,0
angola,2011,-14.135031,21.503647,-1.02522885799408,37,0
angola,2011,-11.886975,22.924998,-1.090052485466,37,0
angola,2011,-11.915085,22.876838,-1.01936089992523,37,0
angola,2011,-10.719151,22.202101,-0.256668001413345,37,0
angola,2011,-10.691041,22.233159,-0.0876544490456581,37,0
angola,2011,-16.747716,14.987153,0.211549818515778,36,0
angola,2011,-16.688241,15.01652,-1.1446328163147,12,0
angola,2011,-17.10727,14.731981,-1.16648209095001,37,0
angola,2011,-17.277097,14.603176,-1.25818300247192,36,0
angola,2011,-16.569325,13.935462,-1.11952424049377,37,0
angola,2011,-16.432445,13.879785,-1.19205212593079,31,0
angola,2011,-15.052206,13.563021,-0.900944113731384,30,0
angola,2011,-15.05934,13.55733,-0.801721632480621,37,0
angola,2011,-14.703161,13.854702,-0.710649311542511,37,0
angola,2011,-14.700672,13.857399,-0.491313308477402,37,0
angola,2011,-15.352912,13.985749,-0.579489648342133,37,0
angola,2011,-15.374823,14.003732,-0.502918541431427,37,0
angola,2011,-13.848003,14.492118,-0.65778648853302,36,0
angola,2011,-13.858824,14.505897,-0.986010551452637,37,0
angola,2011,-14.854868,14.541673,-0.539738237857819,37,0
angola,2011,-14.82908,14.543073,-0.289916187524796,32,0
angola,2011,-14.744015,15.024417,-0.913845539093018,36,0
angola,2011,-14.786573,14.932136,-0.743605434894562,37,0
angola,2011,-14.222603,14.877484,-0.819722712039948,37,0
angola,2011,-14.009649,14.971961,-0.826906085014343,37,0
angola,2011,-15.753388,13.883774,-0.210351467132568,37,0
angola,2011,-15.750301,13.865579,-0.55951315164566,37,0
angola,2011,-15.785221,12.099683,-0.661220967769623,36,0
angola,2011,-15.784844,12.102887,-0.737723767757416,34,0
angola,2011,-14.117284,13.235936,-1.03021395206451,32,0
angola,2011,-14.084452,13.298436,-0.840183556079865,31,0
angola,2011,-8.817997,13.233722,2.13965368270874,27,1
angola,2011,-8.823097,13.229825,2.39352989196777,28,1
angola,2011,-8.816141,13.23632,2.47592210769653,34,1
angola,2011,-8.813405,13.244106,1.15836322307587,34,1
angola,2011,-8.840443,13.224205,1.80963087081909,34,1
angola,2011,-8.827519,13.225791,1.85235702991486,35,1
angola,2011,-8.846415,13.224051,1.99294483661652,22,1
angola,2011,-8.875834,13.231401,1.38676726818085,28,1
angola,2011,-8.835869,13.210838,1.57732355594635,35,1
angola,2011,-8.832266,13.221907,1.99323892593384,30,1
angola,2011,-8.826286,13.228105,1.59564912319183,28,1
angola,2011,-8.833632,13.229804,1.5986499786377,26,1
angola,2011,-8.856284,13.211205,1.49419701099396,36,1
angola,2011,-8.87411,13.197329,1.45406448841095,33,1
angola,2011,-8.868386,13.208145,1.70844566822052,32,1
angola,2011,-8.82389,13.248606,1.32809269428253,35,1
angola,2011,-8.816697,13.259242,1.97760713100433,37,1
angola,2011,-8.815725,13.261332,1.21171367168427,37,1
angola,2011,-8.811948,13.266252,1.5292501449585,35,1
angola,2011,-8.813852,13.254427,2.19922780990601,28,1
angola,2011,-8.809344,13.260851,2.15812921524048,36,1
angola,2011,-8.789044,13.288926,1.62899172306061,37,1
angola,2011,-8.806689,13.29555,1.01627063751221,37,1
angola,2011,-8.83616,13.262736,1.63160455226898,36,1
angola,2011,-8.83683,13.267561,1.92574214935303,33,1
angola,2011,-8.846789,13.243329,2.04141497612,36,1
angola,2011,-8.827348,13.260334,1.41397392749786,36,1
angola,2011,-8.84793,13.244764,1.31284129619598,37,1
angola,2011,-8.865831,13.273651,1.59246265888214,37,1
angola,2011,-8.864,13.240764,1.05676901340485,32,1
angola,2011,-8.872391,13.268747,1.54771316051483,37,1
angola,2011,-8.864989,13.274756,1.70628917217255,37,1
angola,2011,-8.856465,13.26412,1.8748939037323,37,1
angola,2011,-8.882478,13.2459,1.56408417224884,37,1
angola,2011,-8.867516,13.244991,0.799516141414642,35,1
angola,2011,-8.834056,13.209744,1.4746025800705,35,1
angola,2011,-8.816916,13.220078,1.89140689373016,36,1
angola,2011,-9.004158,13.205266,0.158698976039886,32,0
angola,2011,-8.947241,13.196158,1.70110952854156,36,1
angola,2011,-8.788449,13.343461,1.34830367565155,36,1
angola,2011,-8.780709,13.371478,0.98741227388382,35,1
angola,2011,-8.909398,13.360441,2.23700642585754,33,1
angola,2011,-8.911528,13.35434,0.991173565387726,34,1
angola,2011,-8.906169,13.347171,1.47247433662415,36,1
angola,2011,-8.924589,13.351689,1.24541461467743,35,1
angola,2011,-8.872989,13.353201,1.29460954666138,37,1
angola,2011,-8.914535,13.352352,1.16622614860535,34,1
angola,2011,-8.9001,13.381235,1.47427260875702,37,1
angola,2011,-8.788655,13.312563,1.38247418403625,35,1
angola,2011,-8.826405,13.273063,1.46178138256073,32,1
angola,2011,-8.801185,13.282126,2.22018694877625,31,1
angola,2011,-8.825431,13.268597,1.97440695762634,37,1
angola,2011,-8.800267,13.336221,1.43245673179626,33,1
angola,2011,-8.804814,13.322053,1.2948933839798,35,1
angola,2011,-8.799253,13.33084,1.28360235691071,35,1
angola,2011,-8.776135,13.317466,1.47000765800476,35,1
angola,2015,-12.101381,14.140703,-0.992088079452515,26,0
angola,2015,-9.663518,20.377014,0.840118885040283,26,1
angola,2015,-8.928897,13.299542,1.71024131774902,10,1
angola,2015,-14.287585,17.621653,-0.436499625444412,26,0
angola,2015,-14.211038,13.546263,-0.981814742088318,26,0
angola,2015,-5.562043,12.211461,1.68470525741577,25,1
angola,2015,-5.580166,12.191222,1.75976896286011,25,1
angola,2015,-12.353335,14.778694,0.162535086274147,22,1
angola,2015,-11.61019,14.460758,-0.818060874938965,24,0
angola,2015,-8.828197,13.3354,1.25271463394165,25,1
angola,2015,-8.888833,13.353182,1.92006206512451,23,1
angola,2015,-14.236392,12.415434,-0.225436747074127,23,0
angola,2015,-9.096904,15.741176,-0.923728704452515,26,0
angola,2015,-14.666671,17.686694,-0.0307060964405537,26,1
angola,2015,-14.921756,13.510776,1.79235851764679,26,1
angola,2015,-8.908463,20.259352,-1.01478171348572,20,0
angola,2015,-12.275742,16.026318,-0.798326969146729,26,0
angola,2015,-9.553536,16.389127,1.25698363780975,26,1
angola,2015,-13.705202,14.597441,-0.870300054550171,26,0
angola,2015,-15.341305,21.485585,-0.926760673522949,26,0
angola,2015,-8.697084,19.727543,-1.19652152061462,22,0
angola,2015,-7.374192,20.809691,2.07098865509033,23,1
angola,2015,-8.910589,13.45499,0.766207575798035,24,0
angola,2015,-10.561233,17.424434,-0.57768326997757,25,0
angola,2015,-8.881348,13.315149,1.92256700992584,26,1
angola,2015,-6.819462,13.327338,0.940209269523621,19,1
angola,2015,-10.151903,19.264746,-0.421195209026337,26,1
angola,2015,-8.461192,20.71533,-0.138812467455864,25,1
angola,2015,-10.403526,15.529566,-0.539864301681519,16,0
angola,2015,-9.643511,20.405183,-0.0864738672971725,26,1
angola,2015,-12.37901,16.920537,0.450461357831955,25,1
angola,2015,-14.338805,14.955619,-0.498582988977432,26,0
angola,2015,-8.883894,13.220594,1.67649567127228,22,1
angola,2015,-8.586355,13.656795,1.52975165843964,26,1
angola,2015,-9.674744,20.379196,-0.18580923974514,26,1
angola,2015,-9.531624,16.334123,1.57330369949341,26,1
angola,2015,-13.268225,16.286991,-0.927974224090576,23,0
angola,2015,-12.538077,13.48618,1.27027654647827,23,1
angola,2015,-10.08032,17.556974,-0.276529014110565,23,1
angola,2015,-13.970785,13.681502,-0.994631230831146,26,0
angola,2015,-14.744742,17.72352,-0.680787324905396,26,0
angola,2015,-8.924553,13.172158,2.24707508087158,26,1
angola,2015,-9.045968,16.000738,-0.601799309253693,25,0
angola,2015,-8.879486,13.295112,2.01838231086731,15,1
angola,2015,-9.685429,14.441534,1.2455780506134,23,1
angola,2015,-12.473333,14.156655,-0.664640605449677,23,1
angola,2015,-15.210033,12.164757,0.516152620315552,26,1
angola,2015,-13.592402,13.946598,0.363805949687958,24,1
angola,2015,-15.117018,12.150391,0.07408157736063,24,1
angola,2015,-17.048687,16.503162,-0.926712393760681,26,0
angola,2015,-8.466017,15.260658,-0.366297990083694,24,1
angola,2015,-11.11256,23.708107,-0.660987973213196,18,0
angola,2015,-6.14914,12.359349,1.00487887859344,16,1
angola,2015,-9.677145,20.395768,0.847587108612061,26,1
angola,2015,-6.257807,14.21544,0.0811834558844566,18,1
angola,2015,-10.899427,16.091439,-0.419854015111923,16,0
angola,2015,-6.1072,14.628845,0.0676510483026505,25,1
angola,2015,-9.551154,16.360042,1.26608240604401,23,1
angola,2015,-12.757253,15.756708,2.03161025047302,20,1
angola,2015,-8.424109,20.735781,0.854675054550171,21,1
angola,2015,-15.186579,12.172009,1.74781095981598,26,1
angola,2015,-12.64765,13.377255,1.09580361843109,24,1
angola,2015,-9.004046,20.412949,-0.600243031978607,26,0
angola,2015,-8.780813,18.00381,-0.437932670116425,20,1
angola,2015,-17.193086,15.590494,-0.569460809230804,24,0
angola,2015,-8.808396,13.33674,1.30771827697754,21,1
angola,2015,-4.766244,12.51069,0.622179865837097,21,0
angola,2015,-8.845366,13.326872,1.39914536476135,26,1
angola,2015,-8.888918,13.483642,2.41503953933716,26,1
angola,2015,-15.224634,12.176025,0.624659240245819,25,1
angola,2015,-6.136926,12.35474,0.402161359786987,20,1
angola,2015,-9.320071,14.906135,1.63002264499664,24,1
angola,2015,-11.75671,19.922087,0.627189099788666,22,1
angola,2015,-6.142472,12.3597,0.927460849285126,20,1
angola,2015,-7.487095,16.22542,-0.862545192241669,26,0
angola,2015,-8.615344,13.546773,1.18750083446503,25,0
angola,2015,-4.653519,12.731428,0.46171373128891,17,0
angola,2015,-6.613281,15.776278,-0.887658059597015,25,0
angola,2015,-15.644771,20.891849,-0.598328590393066,24,0
angola,2015,-8.441921,20.717824,-0.357177495956421,25,1
angola,2015,-12.586147,13.427717,1.64208889007568,25,1
angola,2015,-5.601466,12.191756,1.75407111644745,25,1
angola,2015,-15.200578,12.168686,1.48762774467468,26,1
angola,2015,-17.957551,20.938078,-0.996087670326233,26,0
angola,2015,-10.71007,22.213614,-0.211427167057991,21,1
angola,2015,-11.775803,19.900256,1.45404553413391,26,1
angola,2015,-12.43178,16.778168,-0.387016206979752,16,0
angola,2015,-15.142602,12.177361,0.954135000705719,24,1
angola,2015,-17.778163,19.187323,-0.755380690097809,26,0
angola,2015,-15.014207,19.030061,-1.13403618335724,26,0
angola,2015,-12.528704,15.809659,-0.0518708899617195,22,0
angola,2015,-15.800169,11.858776,1.2640335559845,26,1
angola,2015,-9.330304,14.243508,-0.757603287696838,26,0
angola,2015,-7.617862,15.022488,1.42353761196136,21,1
angola,2015,-9.562791,16.324651,-0.166313752532005,26,0
angola,2015,-13.819753,21.485634,-0.969138383865356,25,0
angola,2015,-13.059614,15.782795,-0.452536046504974,26,0
angola,2015,-6.362546,16.414454,-1.12361717224121,21,0
angola,2015,-10.18092,21.354601,-1.06698977947235,26,0
angola,2015,-15.186028,12.160149,2.06081223487854,26,1
angola,2015,-9.26857,15.229294,0.81293648481369,23,1
angola,2015,-12.472245,16.470441,-0.845727920532227,26,0
angola,2015,-13.361194,14.13088,-0.898977160453796,26,0
angola,2015,-7.516461,15.699676,-0.775155901908875,26,0
angola,2015,-6.02191,15.75782,-0.963594496250153,26,0
angola,2015,-14.747984,14.979619,1.33210349082947,19,0
angola,2015,-17.033552,14.824684,-1.10993313789368,25,0
angola,2015,-9.019286,13.114102,1.1988799571991,26,0
angola,2015,-9.536969,17.788682,-0.64833128452301,20,0
angola,2015,-17.294477,16.029036,-0.860141754150391,26,0
angola,2015,-7.399771,20.822809,0.814126312732697,16,1
